,30-3,10-3,30-5,10-5,30-7,10-7
CAT,0.031703988345806115,0.0004579305465313284,0.03239051653321864,-0.005422997214089548,0.03118096851450521,-0.007661523835638594
V,0.03168624518563139,0.0048239404168202975,0.03148601498439167,0.0016525555178242017,0.029702651624200282,0.003247210651788026
CME,0.03160706466694129,0.005985953342549525,0.03567705477580671,0.0026481391196937257,0.04344492454846178,-0.0008360368074693583
ODFL,0.03156132155598447,0.007262337523320821,0.02527138482120063,0.002528476666811118,0.018211548737759726,0.011278243408039687
AJG,0.031546893768648346,0.007449109288398399,0.03320694268092171,0.00891496705178651,0.03676583617559604,0.010766472586125723
ADP,0.03145189348794293,0.006702350382011658,0.03534444889818135,0.00506295621554643,0.0391133955286651,-0.003003249815944092
COST,0.0312941770198316,0.0026989655187646113,0.031656341093611505,0.0044092773772935,0.03295283300909421,0.011558734539161142
VFC,0.030889884880356613,0.018234710284247772,0.03380313326123463,0.026140085940848323,0.03666611465750056,0.02661702925832333
CDNS,0.03088753677649813,0.011918908273472287,0.03137995615111866,0.009969376670353245,0.030496399225652924,0.010231799495478224
APD,0.030554470620223807,0.0072566277809323655,0.029914115197921184,0.006795367098620242,0.029291897240926935,0.010139447619906428
PLD,0.0303255617960412,0.00998711480773296,0.030944079996982034,0.010272842754177293,0.029892981144773255,-0.0035606120787072537
HD,0.030265211402280036,0.0033817748382106443,0.03130120778873092,0.0012464833653969562,0.03191948447745174,0.0038096009753073295
ORLY,0.03011437566731802,0.004053143582725094,0.027376645849847395,-0.0036264010434764182,0.02599666711444876,-0.007762625999617079
NVR,0.030068244566072835,0.01740372850983499,0.03344016560713993,0.017920473567806947,0.028839973995968445,0.017113374647969422
CBRE,0.03005839732058625,0.010543179314867946,0.031522842949570924,0.015678989660253613,0.029891461899237984,0.018750374242935557
TSCO,0.030004236610930574,0.0074649175198945586,0.02867946953553502,0.007334088939426811,0.03152406343915237,0.0049727634666481835
DOV,0.030001775478882362,0.015555953843556741,0.030732839540814568,0.022907997816383252,0.032669168173076434,0.0367391166341791
ANSS,0.02978225690128541,0.012107138277981901,0.026968257588958815,0.019288770786187,0.02328997467754003,0.01916864474201925
NEE,0.0297269656776489,0.0071732976788930715,0.032744879746655756,0.008490432870832997,0.03697922134120668,0.014009192163567469
TMO,0.029152753594185073,0.00615518380249903,0.026780673398044866,0.007511688104495917,0.020884446435970254,0.010673797096582479
MRO,0.02903421963072519,-0.005819189812720157,0.03299290755884673,-0.009067753325920653,0.03989955274227134,-0.008800700339865785
XLNX,0.028949359287260945,0.011938781958249666,0.028835460040934447,0.011166646025652472,0.03308326537872388,0.030422698811514694
INTU,0.028816040528650336,0.01154156401474835,0.024307602517853823,0.009976568718663521,0.02184096795893434,0.008909967096537975
AON,0.028695492007795465,0.007506451013594627,0.030015805355709323,0.006244608207768869,0.030775832447835248,0.004227222033082435
IR,0.028563442609715432,0.010658048460949018,0.03347868279244628,0.01385875630535363,0.04173973304988927,0.01786632540319631
UAL,0.028491992701309837,0.006764676207364206,0.028335340901035566,0.012819292265813699,0.028325431317578323,0.014045302830012773
ABT,0.028389132123868135,0.005492837482100621,0.023896845565527257,0.008186600512543043,0.023842927863161355,0.014187397428447473
RTN,0.027858115488682868,0.005695566068520304,0.030353848250285757,0.0061525287984210315,0.0322608672347647,0.0024526442132170602
RHI,0.027826255663186382,-0.001514549133518091,0.029549487433972045,-0.0037660431811968884,0.025611232387598,-0.008086779701219788
ETR,0.027744496457766388,0.00797763140597284,0.025942353330703667,0.009419573006126575,0.023390338591614716,0.013907131270144524
AMAT,0.027657195925732625,0.012548114585013625,0.03551481943559688,0.01662354560827206,0.041280246419815446,0.019206797245283718
IT,0.02741644267400738,0.00417288432607574,0.03180170960650222,0.006823142906250111,0.035571775133302695,0.010420750651072336
