,30-3,10-3,30-5,10-5,30-7,10-7
UDR,0.6633165829145728,0.5460122699386503,0.6220472440944882,0.4925373134328358,0.6395348837209303,0.4375
A,0.6623376623376623,0.6287425149700598,0.6625766871165644,0.671875,0.6666666666666666,0.7647058823529411
ABT,0.6598984771573604,0.5833333333333334,0.624,0.625,0.5875,0.7142857142857143
JPM,0.6595744680851063,0.532967032967033,0.6312849162011173,0.5342465753424658,0.6176470588235294,0.5454545454545454
CHTR,0.6577777777777778,0.461038961038961,0.6770186335403726,0.4098360655737705,0.7008547008547008,0.3
NTAP,0.657439446366782,0.44970414201183434,0.668141592920354,0.4931506849315068,0.6781609195402298,0.5
STZ,0.657258064516129,0.5257731958762887,0.6648648648648648,0.5365853658536586,0.6666666666666666,0.56
WLTW,0.6566523605150214,0.5802469135802469,0.6303030303030303,0.631578947368421,0.6333333333333333,0.36363636363636365
SYK,0.6535087719298246,0.5786516853932584,0.7232704402515723,0.5294117647058824,0.7631578947368421,0.53125
WRB,0.652542372881356,0.73125,0.6432748538011696,0.8360655737704918,0.6333333333333333,0.95
ROL,0.6521739130434783,0.6198830409356725,0.650887573964497,0.5070422535211268,0.6614173228346457,0.4
PFE,0.652,0.6783625730994152,0.659217877094972,0.7246376811594203,0.6940298507462687,0.7647058823529411
OKE,0.6486486486486487,0.5416666666666666,0.6818181818181818,0.527027027027027,0.6788990825688074,0.625
ADSK,0.6482213438735178,0.5121951219512195,0.6596858638743456,0.47619047619047616,0.6618705035971223,0.6842105263157895
DAL,0.6468253968253969,0.547486033519553,0.6961325966850829,0.5121951219512195,0.7398373983739838,0.5161290322580645
MDLZ,0.6460905349794238,0.6494252873563219,0.6704545454545454,0.6716417910447762,0.6942148760330579,0.7894736842105263
CME,0.6458333333333334,0.53125,0.6534090909090909,0.47540983606557374,0.7076923076923077,0.4444444444444444
FRC,0.6444444444444445,0.49557522123893805,0.6881720430107527,0.48717948717948717,0.7288135593220338,0.25
PEAK,0.6431924882629108,0.5514705882352942,0.6554054054054054,0.5333333333333333,0.6326530612244898,0.625
DRE,0.6428571428571429,0.6013986013986014,0.6267605633802817,0.65,0.6274509803921569,0.6666666666666666
VAR,0.6416666666666667,0.5771144278606966,0.6404494382022472,0.5176470588235295,0.6870229007633588,0.4
NRG,0.6413502109704642,0.554945054945055,0.6227544910179641,0.5584415584415584,0.5948275862068966,0.5555555555555556
VRTX,0.6412556053811659,0.453416149068323,0.6878980891719745,0.4603174603174603,0.7094017094017094,0.42857142857142855
YUM,0.640495867768595,0.6648648648648648,0.6593406593406593,0.6931818181818182,0.6642335766423357,0.75
DHR,0.6396396396396397,0.5902777777777778,0.5923566878980892,0.627906976744186,0.6055045871559633,0.5714285714285714
CCI,0.6391304347826087,0.553072625698324,0.7083333333333334,0.5774647887323944,0.7786885245901639,0.5909090909090909
GWW,0.6387665198237885,0.5609756097560976,0.6047904191616766,0.6285714285714286,0.5714285714285714,0.7142857142857143
ORCL,0.6384976525821596,0.5657142857142857,0.6772151898734177,0.5974025974025974,0.7033898305084746,0.56
WM,0.6378600823045267,0.7383720930232558,0.5737704918032787,0.7941176470588235,0.5314685314685315,0.8125
ECL,0.6375545851528385,0.5804597701149425,0.5960264900662252,0.5882352941176471,0.5825242718446602,0.5833333333333334
TGT,0.6363636363636364,0.5696969696969697,0.608433734939759,0.6,0.5691056910569106,0.7142857142857143
SNPS,0.6359223300970874,0.5755813953488372,0.6111111111111112,0.6049382716049383,0.5887850467289719,0.6666666666666666
KMI,0.635593220338983,0.6136363636363636,0.6428571428571429,0.6666666666666666,0.6530612244897959,0.75
FITB,0.6351931330472103,0.5411764705882353,0.627906976744186,0.5616438356164384,0.6311475409836066,0.5666666666666667
IEX,0.6341463414634146,0.5878787878787879,0.6033519553072626,0.6027397260273972,0.5955882352941176,0.68
HCA,0.6339869281045751,0.6601941747572816,0.6416666666666667,0.68,0.6631578947368421,0.7
DFS,0.6333333333333333,0.5372340425531915,0.6601941747572816,0.5119047619047619,0.6875,0.4166666666666667
NFLX,0.6327433628318584,0.5668449197860963,0.6305732484076433,0.5875,0.6504854368932039,0.7307692307692307
MTD,0.6322314049586777,0.5348837209302325,0.6243093922651933,0.5128205128205128,0.6119402985074627,0.41935483870967744
CF,0.631578947368421,0.4785276073619632,0.6490066225165563,0.5409836065573771,0.6132075471698113,0.625
GL,0.631578947368421,0.5666666666666667,0.6602564102564102,0.5657894736842105,0.6788990825688074,0.5555555555555556
INTU,0.631578947368421,0.6223404255319149,0.5945945945945946,0.625,0.5619047619047619,0.6538461538461539
BKNG,0.6307692307692307,0.4157303370786517,0.6512820512820513,0.2535211267605634,0.6870748299319728,0.21739130434782608
ICE,0.6304347826086957,0.4659090909090909,0.6012658227848101,0.4457831325301205,0.5454545454545454,0.46875
TEL,0.6303317535545023,0.5823529411764706,0.6111111111111112,0.6142857142857143,0.5876288659793815,0.7857142857142857
MS,0.6302521008403361,0.5337078651685393,0.622093023255814,0.44285714285714284,0.6050420168067226,0.3888888888888889
LYB,0.6298076923076923,0.4485294117647059,0.6428571428571429,0.423728813559322,0.6466165413533834,0.47058823529411764
GRMN,0.6294642857142857,0.6490066225165563,0.5935483870967742,0.6612903225806451,0.5688073394495413,0.6363636363636364
FAST,0.6293103448275862,0.5411764705882353,0.6496815286624203,0.5223880597014925,0.6355140186915887,0.625
JCI,0.6284403669724771,0.5197368421052632,0.6711409395973155,0.45454545454545453,0.6915887850467289,0.5333333333333333
